fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,ticker
25 nov 2025,326.8,328.67,317.82,323.64,323.43,50899300,GOOG
24 nov 2025,311.01,319.8,309.4,318.47,318.26,55311800,GOOG
21 nov 2025,296.87,303.96,294.36,299.65,299.45,43670600,GOOG
20 nov 2025,304.74,306.89,289.17,289.98,289.79,34801400,GOOG
19 nov 2025,287.68,304.25,287.67,292.99,292.8,43123600,GOOG
18 nov 2025,288.48,289.43,279.01,284.96,284.77,29702200,GOOG
17 nov 2025,286.4,294.52,284.23,285.6,285.41,34286100,GOOG
14 nov 2025,271.89,279.15,271.41,276.98,276.8,18330500,GOOG
13 nov 2025,282.98,283.51,278.0,279.12,278.94,18060200,GOOG
12 nov 2025,292.08,292.36,284.38,287.43,287.24,16998800,GOOG
11 nov 2025,288.2,292.34,287.88,291.74,291.55,14156700,GOOG
10 nov 2025,285.27,291.46,283.54,290.59,290.4,19508200,GOOG
7 nov 2025,284.21,284.5,275.74,279.7,279.52,21991100,GOOG
6 nov 2025,285.73,288.81,281.62,285.34,285.15,23103800,GOOG
5 nov 2025,279.38,286.7,277.88,284.75,284.56,20063200,GOOG
4 nov 2025,277.07,281.83,276.86,278.06,277.88,18123700,GOOG
3 nov 2025,282.42,285.94,280.37,284.12,283.93,19691800,GOOG
31 oct 2025,283.2,286.29,277.52,281.82,281.64,29932800,GOOG
30 oct 2025,291.72,291.93,280.45,281.9,281.72,48570000,GOOG
29 oct 2025,268.61,275.97,268.43,275.17,274.99,26287900,GOOG
28 oct 2025,270.2,271.38,267.17,268.43,268.25,20101200,GOOG
27 oct 2025,265.36,270.8,264.94,269.93,269.75,22987700,GOOG
24 oct 2025,257.3,262.51,256.1,260.51,260.34,18406000,GOOG
23 oct 2025,253.7,255.86,252.77,253.73,253.56,13241300,GOOG
22 oct 2025,255.01,257.18,250.45,252.53,252.37,19650200,GOOG
21 oct 2025,255.25,255.38,244.67,251.34,251.18,27836400,GOOG
20 oct 2025,255.23,257.88,254.6,257.02,256.85,13726800,GOOG
17 oct 2025,251.35,254.88,248.59,253.79,253.62,17653800,GOOG
16 oct 2025,252.46,257.58,250.67,251.88,251.72,18946000,GOOG
15 oct 2025,248.09,252.76,246.79,251.71,251.55,16048100,GOOG
14 oct 2025,241.76,248.02,241.18,246.19,246.03,17705400,GOOG
13 oct 2025,241.03,244.99,240.75,244.64,244.48,12465000,GOOG
10 oct 2025,242.16,244.84,236.68,237.49,237.34,22449100,GOOG
9 oct 2025,245.06,245.55,239.68,242.21,242.05,19375700,GOOG
8 oct 2025,246.2,247.26,245.09,245.46,245.3,14136500,GOOG
7 oct 2025,248.93,251.55,246.81,247.13,246.97,13811200,GOOG
6 oct 2025,245.78,252.2,245.69,251.51,251.35,18309000,GOOG
3 oct 2025,245.23,247.12,242.47,246.45,246.29,19941400,GOOG
2 oct 2025,245.64,247.63,243.1,246.43,246.27,20657500,GOOG
1 oct 2025,241.18,247.15,239.2,245.54,245.38,23967700,GOOG
30 sept 2025,243.06,243.68,239.57,243.55,243.39,22541200,GOOG
29 sept 2025,248.27,251.65,243.2,244.36,244.2,23157200,GOOG
26 sept 2025,247.79,250.12,246.64,247.18,247.02,16594600,GOOG
25 sept 2025,244.84,247.32,241.65,246.57,246.41,17379800,GOOG
24 sept 2025,252.15,252.96,247.22,247.83,247.67,16958500,GOOG
23 sept 2025,253.65,254.77,251.09,252.34,252.18,17521100,GOOG
22 sept 2025,254.78,256.31,250.81,252.88,252.72,20079000,GOOG
19 sept 2025,253.4,256.7,252.07,255.24,255.07,41616800,GOOG
18 sept 2025,251.86,254.14,250.11,252.33,252.17,21166400,GOOG
17 sept 2025,251.46,251.95,246.58,249.85,249.69,20491300,GOOG
16 sept 2025,252.33,253.23,249.71,251.42,251.26,24493500,GOOG
15 sept 2025,245.14,252.75,244.98,251.76,251.6,29935200,GOOG
